ricoId,label
rico:isInstantiationAssociatedWithInstantiation,est associée à l’instanciation
rico:isLastUpdateDateOf,est la date de dernière mise à jour de
rico:isMainThingRepresentedByContentOf,est la chose principale représentée par le contenu de
rico:isMigrationDateOf,est la date de migration de
rico:isModificationDateOf,est une date de modification de
rico:isOrWasAccumulationDateOfAllMembersOf,est ou a été la date de accumulation de tous les membres de
rico:isOrWasAccumulationDateOfMostMembersOf,est ou a été la date d'accumulation de la plupart des membres de
rico:isOrWasAccumulationDateOfSomeMembersOf,est ou a été la date d'accumulation de certains membres de
rico:isOrWasActiveAtDate,est ou a été actif à la date
rico:isOrWasActivityDateOf,est ou a été la date d’activité de
rico:isOrWasAdjacentTo,est ou a été adjacent à
rico:isOrWasAffectedBy,est ou a été affecté par
rico:isOrWasAgentNameOf,est ou a été le nom de
rico:isOrWasAnalogueInstantiationOf,est ou a été une instanciation analogique de
rico:isOrWasAppellationOf,est ou a été l’appellation de
rico:isOrWasAttendedByStudent,est ou a été fréquenté par l’étudiant
rico:isOrWasComponentOf,est ou a été un composant de
rico:isOrWasConstituentOf,est ou a été un constituant de
rico:isOrWasContainedBy,est ou a été contenu par
rico:isOrWasContentTypeOfAllMembersOf,est ou a été le type de contenu de tous les membres de
rico:isOrWasContentTypeOfSomeMembersOf,est ou a été le type de contenu de certains membres de
rico:isOrWasControllerOf,contrôle ou a contrôlé
rico:isOrWasCoordinatesOf,ont ou ont été les coordonnées de
rico:isOrWasCorporateBodyTypeOf,est ou a été le type de collectivité de
rico:isOrWasCreationDateOfAllMembersOf,est ou a été la date de création de tous les membres de
rico:isOrWasCreationDateOfMostMembersOf,est ou a été la date de création de la plupart des membres de
rico:isOrWasCreationDateOfSomeMembersOf,est ou a été la date de création de certains membres de
rico:isOrWasDemographicGroupOf,est ou a été le groupe démographique de
rico:isOrWasDerivedFromInstantiation,est ou a été une instanciation dérivée de
rico:isOrWasDescribedBy,est ou a été décrit par
rico:isOrWasDigitalInstantiationOf,est ou a été une instanciation numérique de
rico:isOrWasDocumentaryFormTypeOfAllMembersOf,est ou a été le type de document de tous les membres de
rico:isOrWasDocumentaryFormTypeOfSomeMembersOf,est ou a été le type de document de certains membres de
rico:isOrWasEmployerOf,a ou a été l'employeur de
rico:isOrWasEnforcedBy,est ou a été imposé par
rico:isOrWasExpressedBy,est ou a été exprimé par
rico:isOrWasHolderOf,détient ou a détenu
rico:isOrWasHolderOfIntellectualPropertyRightsOf,détient ou a détenu les droits de propriété intellectuelle sur
rico:isOrWasIdentifierOf,est ou a été l’identifiant de
rico:isOrWasIncludedIn,est ou a été inclus dans
rico:isOrWasInstantiationOf,est ou a été une instanciation de
rico:isOrWasJurisdictionOf,est ou a été le ressort de
rico:isOrWasLanguageOf,est ou a été la langue de
rico:isOrWasLanguageOfAllMembersOf,est ou a été la langue de tous les membres de
rico:isOrWasLanguageOfSomeMembersOf,est ou a été la langue de certains membres de
rico:isOrWasLeaderOf,est ou a été le dirigeant de
rico:isOrWasLegalStatusOf,est ou a été le statut légal de
rico:isOrWasLegalStatusOfAllMembersOf,est ou a été le statut légal de tous les membres de
rico:isOrWasLegalStatusOfSomeMembersOf,est ou a été le statut légal de certains membres de
rico:isOrWasLocationOf,est ou a été la localisation de
rico:isOrWasLocationOfAgent,est ou a été la localisation de l'agent
rico:isOrWasMainSubjectOf,est ou a été le sujet principal de
